time_stamp,humidity,temperature,voc,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm2.5_atm,pm2.5_atm_a_b_diff,pm2.5_epa_a,pm2.5_epa_b,pm2.5_epa,pm2.5_epa_a_b_diff,dewpoint,dewpoint_temp_delta,pm2.5_atm_epa_diff,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,reference_monitor_days,pm2.5_atm_diff,pm2.5_atm_a_b_diff_coloc,pm2.5_atm_a_b_max_diff,pm2.5_epa_diff,pm2.5_epa_a_b_diff_coloc,pm2.5_epa_a_b_max_diff,pm2.5_atm_coloc,pm2.5_epa_coloc,humidity_coloc,humidity_diff,temperature_coloc,dewpoint_coloc,voc_coloc,pm2.5_atm_epa_diff_coloc,cohort,monitor
2025-04-27 18:50:00+00:00,17.199,76.799,61.713,0.699,1.407,,1.053,0.3361823361823362,4.6337222,5.0047142000000004,4.8192182,0.03849089049339997,28.96567172080249,47.83332827919752,-3.7662182,3.37,98.54,0.21,324.8,0.0,Medium,0.0,283.78472222222223,-0.6745000000000001,0.015340086830680154,0.3361823361823362,-0.3534380000000006,0.002684500856639156,0.03849089049339997,1.7275,5.1726562000000005,17.199,0.0,75.599,27.991666916481353,57.78,-3.4451562000000004,3.25-5.25,LOC34 233559.csv
2025-04-27 19:00:00+00:00,16.0,76.599,55.316,0.802,1.318,,1.06,0.24339622641509434,4.791048,5.061432,4.92624,0.02744324271655461,27.043016583051568,49.555983416948436,-3.86624,2.99,98.5,0.19,328.0,0.0,Medium,0.0,283.7916666666667,-0.5565,0.10238168883390039,0.24339622641509434,-0.2744521999999998,0.016675087981557524,0.02744324271655461,1.6165,5.2006922,16.199,-0.19900000000000162,75.799,26.698139331513875,55.039,-3.5841921999999995,3.25-5.25,LOC34 233559.csv
2025-04-27 19:10:00+00:00,15.8,77.4,66.62,0.652,1.217,,0.9345000000000001,0.30230069555912253,4.7296879999999994,5.025748,4.877718,0.03034820791197858,27.38181026418482,50.018189735815184,-3.943218,2.99,98.5,0.19,328.0,0.0,Medium,0.0,283.7986111111111,-0.26449999999999996,0.12760633861551293,0.30230069555912253,-0.1559242000000003,0.015927234557911195,0.03034820791197858,1.199,5.0336422,15.599,0.2010000000000005,78.0,27.552301399581232,59.578,-3.8346422000000002,3.25-5.25,LOC34 233559.csv
2025-04-27 19:20:00+00:00,15.199,78.0,85.567,0.532,1.235,,0.8835000000000001,0.39784946236559143,4.7186142,5.0869862,4.9028002,0.03756751090937786,26.9214836330081,51.0785163669919,-4.0193002,2.99,98.5,0.19,328.0,0.0,Medium,0.0,283.80555555555554,-0.5219999999999999,0.056563500533617944,0.39784946236559143,-0.27352800000000066,0.008047789550902119,0.03756751090937786,1.4055,5.1763282,15.199,0.0,77.4,26.441502880723167,60.584,-3.7708282000000004,3.25-5.25,LOC34 233559.csv
2025-04-27 19:30:00+00:00,15.4,77.4,79.018,0.569,1.147,,0.858,0.33682983682983686,4.720676,5.023548,4.8721119999999996,0.031082208290778193,26.759599442087,50.640400557913004,-4.014112,2.99,98.5,0.19,328.0,0.0,Medium,0.0,283.8125,-0.7000000000000001,0.07894736842105263,0.33682983682983686,-0.31508,0.012425219656415212,0.031082208290778193,1.558,5.187192,16.0,-0.5999999999999996,76.0,26.56077720834371,58.243,-3.6291919999999998,3.25-5.25,LOC34 233559.csv
2025-04-27 19:40:00+00:00,15.599,77.2,72.012,0.394,1.36,,0.877,0.5507411630558723,4.6118222,5.1180062,4.864914199999999,0.052023939086119984,26.910431716926375,50.28956828307363,-3.9879141999999996,2.99,98.5,0.19,328.0,0.0,Medium,0.0,283.81944444444446,-0.5720000000000001,0.10006901311249138,0.5507411630558723,-0.2824018000000006,0.014761091022972047,0.052023939086119984,1.449,5.147316,15.8,-0.2010000000000005,76.599,26.73804788912764,57.439,-3.698316,3.25-5.25,LOC34 233559.csv
2025-04-27 19:50:00+00:00,15.599,77.4,78.224,0.558,1.199,,0.8785000000000001,0.3648264086511098,4.6977582,5.0336422,4.8657002,0.034515484533962866,27.070919919864213,50.329080080135796,-3.9872002,2.99,98.5,0.19,328.0,0.0,Medium,0.0,283.8263888888889,-0.38349999999999995,0.19809825673534073,0.3648264086511098,-0.2009540000000003,0.025855326775606625,0.034515484533962866,1.262,5.0666542,15.599,0.0,76.599,26.4280812701521,61.954,-3.8046542000000003,3.25-5.25,LOC34 233559.csv
2025-04-27 20:00:00+00:00,14.8,78.0,84.323,0.597,0.953,,0.7749999999999999,0.22967741935483874,4.787068,4.973612,4.88034,0.019111783195433153,26.277383774301107,51.72261622569889,-4.10534,2.45,98.46,0.18,333.4,0.0,Medium,0.0,283.8333333333333,-0.5220000000000002,0.03623747108712416,0.22967741935483874,-0.30800799999999917,0.004746790307820586,0.019111783195433153,1.2970000000000002,5.1883479999999995,14.4,0.40000000000000036,78.0,25.616001459872734,64.013,-3.8913479999999994,3.25-5.25,LOC34 233559.csv
2025-04-27 20:10:00+00:00,13.599,77.0,87.694,0.52,1.0,,0.76,0.3157894736842105,4.8502462,5.1017662,4.9760062000000005,0.025273280407086325,23.45084024524732,53.54915975475268,-4.216006200000001,2.45,98.46,0.18,333.4,0.0,Medium,0.0,283.84027777777777,-0.5095000000000001,0.05710909807010634,0.3157894736842105,-0.28413179999999905,0.007222243979150393,0.025273280407086325,1.2695,5.2601379999999995,13.4,0.19899999999999984,77.599,23.571960870956403,68.134,-3.9906379999999997,3.25-5.25,LOC34 233559.csv
2025-04-27 20:20:00+00:00,13.0,78.599,102.825,0.458,1.177,,0.8175,0.43975535168195723,4.8693919999999995,5.246148,5.05777,0.03724526817154599,23.63565928779861,54.96334071220139,-4.24027,2.45,98.46,0.18,333.4,0.0,Medium,0.0,283.84722222222223,-0.48149999999999993,0.0985373364126251,0.43975535168195723,-0.2523060000000008,0.012631080986411497,0.03724526817154599,1.299,5.3100760000000005,13.0,0.0,78.599,23.63565928779861,72.313,-4.011076000000001,3.25-5.25,LOC34 233559.csv
2025-04-27 20:30:00+00:00,14.0,77.2,104.174,0.609,1.223,,0.916,0.33515283842794763,4.862316,5.184052,5.0231840000000005,0.03202510598855232,24.303946932903006,52.896053067097,-4.107184,2.45,98.46,0.18,333.4,0.0,Medium,0.0,283.8541666666667,-0.4205,0.061728395061728406,0.33515283842794763,-0.1687081999999993,0.008326444065999652,0.03202510598855232,1.3365,5.1918922,14.599,-0.5990000000000002,76.0,24.35381723370862,66.635,-3.8553922,3.25-5.25,LOC34 233559.csv
2025-04-27 20:40:00+00:00,14.4,76.4,85.573,0.569,1.276,,0.9225,0.3831978319783198,4.806876,5.177344,4.99211,0.03710535224584392,24.343480476888445,52.05651952311156,-4.06961,2.45,98.46,0.18,333.4,0.0,Medium,0.0,283.8611111111111,-0.7080000000000001,0.012572830420116506,0.3831978319783198,-0.33651199999999903,0.0020159058007867756,0.03710535224584392,1.6305,5.328621999999999,14.8,-0.40000000000000036,75.599,24.361612067325098,59.822,-3.6981219999999992,3.25-5.25,LOC34 233559.csv
2025-04-27 20:50:00+00:00,15.0,74.4,63.487,0.766,1.334,,1.05,0.2704761904761905,4.858384,5.156016,5.0072,0.029720402620226884,23.724609461331106,50.6753905386689,-3.9572000000000003,2.45,98.46,0.18,333.4,0.0,Medium,0.0,283.86805555555554,-0.3600000000000001,0.003546099290780145,0.2704761904761905,-0.11967999999999979,0.0005110320506819526,0.029720402620226884,1.4100000000000001,5.12688,15.8,-0.8000000000000007,72.4,23.35969494561684,56.595,-3.7168799999999997,3.25-5.25,LOC34 233559.csv
2025-04-27 21:00:00+00:00,15.199,74.4,65.335,2.088,2.774,,2.431,0.1410941999177293,5.533958200000001,5.8934222,5.7136902,0.03145637822645679,24.03970967657105,50.360290323428956,-3.2826902000000002,1.77,98.44,0.16,341.6,0.0,Medium,0.0,283.875,-0.5145,0.04192836530300456,0.1410941999177293,-0.16615799999999936,0.01100606644913043,0.03145637822645679,2.9455,5.8798482,16.399,-1.200000000000001,71.599,23.601193806379573,55.531,-2.9343481999999996,3.25-5.25,LOC34 233559.csv
2025-04-27 21:10:00+00:00,15.199,73.599,59.698,1.141,1.659,,1.4,0.18500000000000003,5.0377302,5.3091622,5.173446200000001,0.026233190556809102,23.397897730237297,50.20110226976271,-3.773446200000001,1.77,98.44,0.16,341.6,0.0,Medium,0.0,283.88194444444446,-0.5760000000000001,0.005566801619433203,0.18500000000000003,-0.198383999999999,0.0010730048764385932,0.026233190556809102,1.976,5.3718302,16.399,-1.200000000000001,70.2,22.469203791497655,52.264,-3.3958302,3.25-5.25,LOC34 233559.csv
2025-04-27 21:20:00+00:00,15.599,72.799,52.316,1.489,2.196,,1.8425000000000002,0.19185888738127543,5.1856022,5.556070200000001,5.3708362,0.03448885668864754,23.37537803469626,49.423621965303745,-3.5283362,1.77,98.44,0.16,341.6,0.0,Medium,0.0,283.8888888888889,-0.6795,0.03766851704996033,0.19185888738127543,-0.20089799999999958,0.008934381686764626,0.03448885668864754,2.5220000000000002,5.5717342,17.399,-1.8000000000000007,69.2,23.064846038549057,52.078,-3.0497341999999996,3.25-5.25,LOC34 233559.csv
2025-04-27 21:30:00+00:00,15.199,72.799,62.863,1.209,1.582,,1.3955000000000002,0.13364385524901468,5.0733622,5.2688142000000004,5.1710882,0.01889853667551062,22.756662531880664,50.04233746811934,-3.7755881999999996,1.77,98.44,0.16,341.6,0.0,Medium,0.0,283.8958333333333,-0.6444999999999999,0.09215686274509806,0.13364385524901468,-0.16531800000000096,0.018460363830624424,0.01889853667551062,2.04,5.336406200000001,17.199,-2.0000000000000018,69.2,22.789656570452486,55.692,-3.2964062000000007,3.25-5.25,LOC34 233559.csv
2025-04-27 21:40:00+00:00,15.599,72.2,53.451,1.516,2.228,,1.872,0.19017094017094022,5.1997502,5.5728382,5.3862942,0.03463308781016818,22.893718173828326,49.30628182617168,-3.5142942,1.77,98.44,0.16,341.6,0.0,Medium,0.0,283.90277777777777,-0.5970000000000002,0.020656136087484782,0.19017094017094022,-0.14034179999999985,0.004835491246392877,0.03463308781016818,2.4690000000000003,5.526636,17.6,-2.0010000000000012,68.4,22.685606170673054,54.234,-3.0576359999999996,3.25-5.25,LOC34 233559.csv
2025-04-27 21:50:00+00:00,15.8,72.0,58.223,1.625,2.291,,1.958,0.17007150153217568,5.23954,5.588524,5.414032,0.032229584162044085,23.03755255112514,48.962447448874855,-3.4560319999999995,1.77,98.44,0.16,341.6,0.0,Medium,0.0,283.90972222222223,-0.6070000000000004,0.03079922027290446,0.17007150153217568,-0.16290800000000072,0.007422708510401799,0.032229584162044085,2.5650000000000004,5.5769400000000005,17.6,-1.8000000000000007,68.599,22.848056544043633,59.252,-3.01194,3.25-5.25,LOC34 233559.csv
2025-04-27 22:00:00+00:00,15.199,71.799,80.153,1.104,1.51,,1.307,0.15531752104055085,5.0183422,5.2310862,5.1247142,0.02075666970852734,21.954802826809512,49.844197173190494,-3.8177141999999997,1.02,98.44,0.13,347.0,0.0,Medium,0.0,283.9166666666667,-0.637,0.04320987654320986,0.15531752104055085,-0.19578180000000067,0.008272912901353485,0.02075666970852734,1.944,5.320496,16.8,-1.6010000000000009,68.4,21.58242369773241,63.463,-3.3764960000000004,3.25-5.25,LOC34 233559.csv
2025-04-27 22:10:00+00:00,15.199,71.4,89.567,1.106,1.645,,1.3755000000000002,0.19592875318066152,5.0193902,5.3018262,5.1606082,0.027364604040275686,21.634762852909283,49.76523714709072,-3.7851082000000003,1.02,98.44,0.13,347.0,0.0,Medium,0.0,283.9236111111111,-0.6189999999999998,0.004763098520932541,0.19592875318066152,-0.1519560000000002,0.0009370239704585455,0.027364604040275686,1.9945,5.312564200000001,17.199,-2.0000000000000018,68.4,22.13833911923693,65.436,-3.3180642000000007,3.25-5.25,LOC34 233559.csv
2025-04-27 22:20:00+00:00,15.599,71.4,92.465,0.77,1.681,,1.2255,0.37168502651978785,4.8088462,5.2862102,5.0475282,0.04728690767889128,22.250238375121647,49.14976162487836,-3.8220282,1.02,98.44,0.13,347.0,0.0,Medium,0.0,283.93055555555554,-0.621,0.047928513403736814,0.37168502651978785,-0.20463779999999954,0.008829500057690511,0.04728690767889128,1.8465,5.252166,17.0,-1.4009999999999998,68.4,21.862528259794786,68.674,-3.405666,3.25-5.25,LOC34 233559.csv
2025-04-27 22:30:00+00:00,15.599,71.799,108.992,1.338,1.407,,1.3725,0.025136612021857904,5.1064782,5.1426342,5.1245562,0.003527720117500134,22.571201737386026,49.22779826261398,-3.7520561999999997,1.02,98.44,0.13,347.0,0.0,Medium,0.0,283.9375,-0.21399999999999997,0.026788528206744395,0.026788528206744395,0.060350199999999354,0.004397530432213901,0.004397530432213901,1.5865,5.064206,17.6,-2.0010000000000012,67.799,22.19490980366784,67.542,-3.4777060000000004,3.25-5.25,LOC34 233559.csv
2025-04-27 22:40:00+00:00,15.599,71.2,107.061,2.181,1.935,,2.058,0.059766763848396506,5.5482102,5.4193062,5.4837582000000005,0.011753253453078899,22.089333654902305,49.1106663450977,-3.4257582000000006,1.02,98.44,0.13,347.0,0.0,Medium,0.0,283.94444444444446,-0.28400000000000025,0.02049530315969259,0.059766763848396506,0.006344000000000349,0.004591947784412631,0.011753253453078899,2.342,5.4774142,17.399,-1.8000000000000007,68.0,22.086534716201037,68.108,-3.1354142,3.25-5.25,LOC34 233559.csv
2025-04-27 22:50:00+00:00,15.0,71.0,127.713,2.462,2.287,,2.3745000000000003,0.03684986312907986,5.747088,5.655388,5.701238,0.008042112958624026,21.00274980642048,49.99725019357952,-3.3267379999999998,1.02,98.44,0.13,347.0,0.0,Medium,0.0,283.9513888888889,0.11250000000000027,0.04641909814323607,0.04641909814323607,0.19687000000000054,0.009995697962054916,0.009995697962054916,2.262,5.5043679999999995,16.6,-1.6000000000000014,68.0,20.974875350991997,72.983,-3.2423679999999995,3.25-5.25,LOC34 233559.csv
2025-04-27 23:00:00+00:00,15.0,70.799,144.473,1.937,1.921,,1.929,0.004147226542249874,5.471988,5.463604,5.467796,0.000766670885307307,20.841712254513894,49.95728774548611,-3.5387959999999996,0.32,98.46,0.09,353.7,0.0,Medium,0.0,283.9583333333333,-0.23699999999999988,0.09095106186518927,0.09095106186518927,0.06536580000000036,0.019107697124897627,0.019107697124897627,2.166,5.4024301999999995,17.199,-2.1990000000000016,67.4,21.323890335190377,78.385,-3.2364301999999996,3.25-5.25,LOC34 233559.csv
2025-04-27 23:10:00+00:00,15.599,70.799,155.84,1.993,2.177,,2.085,0.04412470023980814,5.4496982,5.5461142,5.4979062,0.008768428970286872,21.766677779496202,49.0323222205038,-3.4129062,0.32,98.46,0.09,353.7,0.0,Medium,0.0,283.96527777777777,-0.46050000000000013,0.048516990768021975,0.048516990768021975,-0.08614199999999972,0.011589083346379413,0.011589083346379413,2.5455,5.5840482,17.399,-1.8000000000000007,67.4,21.597198701586578,80.971,-3.0385481999999997,3.25-5.25,LOC34 233559.csv
2025-04-27 23:20:00+00:00,15.8,70.799,189.102,1.59,2.056,,1.823,0.12781130005485464,5.2212,5.465384,5.343292,0.022849584114063074,22.069987350911248,48.72901264908876,-3.520292,0.32,98.46,0.09,353.7,0.0,Medium,0.0,283.97222222222223,-0.6549999999999998,0.03349475383373687,0.12781130005485464,-0.17081999999999997,0.007887398732561043,0.022849584114063074,2.4779999999999998,5.514112,17.8,-2.0,67.599,22.299589175473088,93.322,-3.036112,3.25-5.25,LOC34 233559.csv
2025-04-27 23:30:00+00:00,16.199,70.4,195.816,2.871,2.826,,2.8485,0.007898894154818313,5.8580502,5.8344702,5.8462602,0.0020166738387730277,22.33960173574353,48.06039826425648,-2.9977601999999997,0.32,98.46,0.09,353.7,0.0,Medium,0.0,283.9791666666667,-0.018000000000000238,0.0856445142159428,0.0856445142159428,0.1285741999999992,0.02249896199266621,0.02249896199266621,2.8665000000000003,5.7176860000000005,17.8,-1.600999999999999,67.4,22.13686885432084,91.962,-2.851186,3.25-5.25,LOC34 233559.csv
2025-04-27 23:40:00+00:00,16.199,70.0,191.132,3.903,3.822,,3.8625,0.01048543689320388,6.3988182,6.3563742,6.3775962,0.0033275860268481487,22.016289848220854,47.98371015177915,-2.5150962000000003,0.32,98.46,0.09,353.7,0.0,Medium,0.0,283.9861111111111,-0.39200000000000035,0.059583969914208446,0.059583969914208446,-0.033007999999999704,0.020720979779097943,0.020720979779097943,4.2545,6.4106042,18.199,-2.0,66.599,22.006508711909717,91.215,-2.1561041999999997,3.25-5.25,LOC34 233559.csv
2025-04-27 23:50:00+00:00,16.399,69.799,211.943,3.367,3.533,,3.45,0.02405797101449274,6.1007142,6.1876982,6.144206199999999,0.0070785384774358796,22.144614532651552,47.654385467348455,-2.694206199999999,0.32,98.46,0.09,353.7,0.0,Medium,0.0,283.99305555555554,-0.41849999999999987,0.0016802378182758045,0.02405797101449274,-0.06413400000000102,0.0005486168428721125,0.0070785384774358796,3.8685,6.2083402,18.199,-1.8000000000000007,67.0,22.335302386327974,100.971,-2.3398402000000003,3.25-5.25,LOC34 233559.csv
